Date,AAPL,MSFT,NVDA,GOOG,AMD
2022-03-04,160.0210418701172,281.04351806640625,22.896835327148438,131.22401428222656,108.41000366210938
2022-03-07,156.22572326660156,270.426513671875,21.315534591674805,125.60494995117188,102.94999694824219
2022-03-08,154.40159606933594,267.4596252441406,21.477256774902344,126.41342163085938,105.52999877929688
2022-03-09,159.8052520751953,279.7248840332031,22.974699020385742,132.95614624023438,111.05000305175781
2022-03-10,155.4607696533203,276.9034118652344,22.619308471679688,131.7801971435547,106.45999908447266
2022-03-11,151.743896484375,271.55120849609375,22.062259674072266,129.58868408203125,104.29000091552734
2022-03-14,147.71319580078125,268.0316467285156,21.29357147216797,125.87957763671875,102.25
2022-03-15,152.09698486328125,278.4159240722656,22.933767318725586,128.7792205810547,109.33000183105469
2022-03-16,156.51014709472656,285.4356994628906,24.454166412353516,132.78184509277344,115.37000274658203
2022-03-17,157.52023315429688,286.24053955078125,24.723705291748047,133.68563842773438,111.69000244140625
2022-03-18,160.81541442871094,291.2919616699219,26.407821655273438,135.87168884277344,113.45999908447266
2022-03-21,162.18838500976562,290.0606384277344,26.688343048095703,135.55088806152344,115.91999816894531
2022-03-22,165.56199645996094,294.8116455078125,26.478708267211914,139.32406616210938,114.77999877929688
2022-03-23,166.92518615722656,290.380615234375,25.590225219726562,137.56211853027344,113.91999816894531
2022-03-24,170.71070861816406,294.85040283203125,28.101930618286133,140.35153198242188,120.52999877929688
2022-03-25,171.34815979003906,294.44317626953125,27.64470863342285,140.55960083007812,119.66999816894531
2022-03-28,172.21112060546875,301.2496643066406,28.170808792114258,140.98519897460938,120.23999786376953
2022-03-29,175.50631713867188,305.8163757324219,28.607065200805664,142.27638244628906,123.2300033569336
2022-03-30,174.3392791748047,304.3135070800781,27.642715454101562,141.6749725341797,119.22000122070312
2022-03-31,171.24026489257812,298.9324035644531,27.239398956298828,138.70033264160156,109.33999633789062
2022-04-01,170.94602966308594,300.00860595703125,26.6663818359375,139.7436981201172,108.19000244140625
2022-04-04,174.99635314941406,305.3897399902344,27.313276290893555,142.66619873046875,110.52999877929688
2022-04-05,171.6815948486328,301.4241638183594,25.886714935302734,140.10421752929688,106.81999969482422
2022-04-06,168.513916015625,290.3902587890625,24.365318298339844,136.24362182617188,103.66999816894531
2022-04-07,168.81790161132812,292.2033996582031,24.166658401489258,135.5374755859375,103.72000122070312
2022-04-08,166.80751037597656,287.9372253417969,23.079517364501953,133.0996551513672,101.0
